Date : 2025-04-08 22:49:09
Directory : c:\Users\user\Desktop\项目\chat-frontend
Total : 67 files,  6891 codes, 79 comments, 1194 blanks, all 8164 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |      3,225 |          0 |        840 |      4,065 |
| TypeScript JSX     |         37 |      3,062 |         67 |        259 |      3,388 |
| TypeScript         |         14 |        354 |          8 |         66 |        428 |
| JSON               |          3 |         93 |          4 |          8 |        105 |
| CSS                |          7 |         64 |          0 |          7 |         71 |
| Markdown           |          1 |         45 |          0 |         10 |         55 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         67 |      6,891 |         79 |      1,194 |      8,164 |
| . (Files)                                                                                          |          9 |      3,423 |          5 |        863 |      4,291 |
| public                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                |         57 |      3,467 |         74 |        331 |      3,872 |
| src (Files)                                                                                        |          2 |         25 |          2 |          3 |         30 |
| src\components                                                                                     |         33 |      2,734 |         67 |        263 |      3,064 |
| src\components\Add_Main                                                                            |          1 |         48 |          0 |          3 |         51 |
| src\components\Chat_Main                                                                           |          4 |        540 |         21 |         59 |        620 |
| src\components\Collection                                                                          |          1 |        131 |          7 |          9 |        147 |
| src\components\FR_notification                                                                     |          2 |        230 |          6 |         12 |        248 |
| src\components\Friendship                                                                          |          5 |        461 |         18 |         38 |        517 |
| src\components\Friendship (Files)                                                                  |          3 |        235 |          9 |         24 |        268 |
| src\components\Friendship\ContactList                                                              |          2 |        226 |          9 |         14 |        249 |
| src\components\Friendship\ContactList (Files)                                                      |          1 |        136 |          7 |         10 |        153 |
| src\components\Friendship\ContactList\FiriendCard                                                  |          1 |         90 |          2 |          4 |         96 |
| src\components\Group                                                                               |          8 |        579 |          4 |         64 |        647 |
| src\components\Group (Files)                                                                       |          6 |        410 |          1 |         57 |        468 |
| src\components\Group\GroupList                                                                     |          2 |        169 |          3 |          7 |        179 |
| src\components\Group\GroupList (Files)                                                             |          1 |        103 |          1 |          3 |        107 |
| src\components\Group\GroupList\GroupCard                                                           |          1 |         66 |          2 |          4 |         72 |
| src\components\Login_Main                                                                          |          2 |         79 |          0 |         12 |         91 |
| src\components\Register_Main                                                                       |          4 |        255 |          0 |         33 |        288 |
| src\components\Register_Main (Files)                                                               |          2 |        138 |          0 |         19 |        157 |
| src\components\Register_Main\UpdatePassword                                                        |          2 |        117 |          0 |         14 |        131 |
| src\components\Self_Main                                                                           |          3 |        237 |          6 |         26 |        269 |
| src\components\Self_Main (Files)                                                                   |          2 |        181 |          6 |         22 |        209 |
| src\components\Self_Main\userCard                                                                  |          1 |         56 |          0 |          4 |         60 |
| src\components\TopBar                                                                              |          3 |        174 |          5 |          7 |        186 |
| src\router                                                                                         |          1 |         60 |          0 |          1 |         61 |
| src\services                                                                                       |         10 |        207 |          3 |         44 |        254 |
| src\services (Files)                                                                               |          2 |         50 |          1 |          8 |         59 |
| src\services\chat                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src\services\contact                                                                               |          1 |         62 |          2 |         12 |         76 |
| src\services\favor                                                                                 |          1 |         18 |          0 |          4 |         22 |
| src\services\file                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src\services\login                                                                                 |          1 |          7 |          0 |          2 |          9 |
| src\services\regist                                                                                |          1 |         12 |          0 |          3 |         15 |
| src\services\search                                                                                |          1 |         26 |          0 |          5 |         31 |
| src\services\self                                                                                  |          1 |         24 |          0 |          6 |         30 |
| src\utils                                                                                          |          1 |         28 |          0 |          1 |         29 |
| src\views                                                                                          |         10 |        413 |          2 |         19 |        434 |
| src\views (Files)                                                                                  |          2 |        220 |          1 |          5 |        226 |
| src\views\add                                                                                      |          1 |          5 |          0 |          2 |          7 |
