Date : 2025-04-09 01:02:58
Directory : c:\Users\user\Desktop\项目\chat-frontend
Total : 65 files,  6986 codes, 105 comments, 1194 blanks, all 8285 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |      3,225 |          0 |        840 |      4,065 |
| TypeScript JSX     |         35 |      3,138 |         92 |        261 |      3,491 |
| TypeScript         |         14 |        354 |          9 |         65 |        428 |
| JSON               |          3 |         93 |          4 |          8 |        105 |
| CSS                |          7 |         83 |          0 |          6 |         89 |
| Markdown           |          1 |         45 |          0 |         10 |         55 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         65 |      6,986 |        105 |      1,194 |      8,285 |
| . (Files)                                                                                          |          9 |      3,423 |          5 |        863 |      4,291 |
| public                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                |         55 |      3,562 |        100 |        331 |      3,993 |
| src (Files)                                                                                        |          2 |         25 |          2 |          3 |         30 |
| src\components                                                                                     |         33 |      2,825 |         79 |        267 |      3,171 |
| src\components\Add_Main                                                                            |          1 |         54 |          0 |          3 |         57 |
| src\components\Chat_Main                                                                           |          4 |        540 |         21 |         59 |        620 |
| src\components\Collection                                                                          |          1 |        131 |          7 |          9 |        147 |
| src\components\FR_notification                                                                     |          2 |        230 |          6 |         12 |        248 |
| src\components\Friendship                                                                          |          5 |        459 |         18 |         39 |        516 |
| src\components\Friendship (Files)                                                                  |          3 |        235 |          9 |         24 |        268 |
| src\components\Friendship\ContactList                                                              |          2 |        224 |          9 |         15 |        248 |
| src\components\Friendship\ContactList (Files)                                                      |          1 |        134 |          7 |         11 |        152 |
| src\components\Friendship\ContactList\FiriendCard                                                  |          1 |         90 |          2 |          4 |         96 |
| src\components\Group                                                                               |          8 |        579 |          4 |         64 |        647 |
| src\components\Group (Files)                                                                       |          6 |        410 |          1 |         57 |        468 |
| src\components\Group\GroupList                                                                     |          2 |        169 |          3 |          7 |        179 |
| src\components\Group\GroupList (Files)                                                             |          1 |        103 |          1 |          3 |        107 |
| src\components\Group\GroupList\GroupCard                                                           |          1 |         66 |          2 |          4 |         72 |
| src\components\Login_Main                                                                          |          2 |         97 |          6 |         12 |        115 |
| src\components\Register_Main                                                                       |          4 |        270 |          8 |         32 |        310 |
| src\components\Register_Main (Files)                                                               |          2 |        149 |          5 |         18 |        172 |
| src\components\Register_Main\UpdatePassword                                                        |          2 |        121 |          3 |         14 |        138 |
| src\components\Self_Main                                                                           |          3 |        210 |          6 |         25 |        241 |
| src\components\Self_Main (Files)                                                                   |          2 |        181 |          6 |         22 |        209 |
| src\components\Self_Main\userCard                                                                  |          1 |         29 |          0 |          3 |         32 |
| src\components\TopBar                                                                              |          3 |        255 |          3 |         12 |        270 |
| src\router                                                                                         |          1 |         50 |         12 |          1 |         63 |
| src\services                                                                                       |         10 |        207 |          4 |         43 |        254 |
| src\services (Files)                                                                               |          2 |         50 |          2 |          7 |         59 |
| src\services\chat                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src\services\contact                                                                               |          1 |         62 |          2 |         12 |         76 |
| src\services\favor                                                                                 |          1 |         18 |          0 |          4 |         22 |
| src\services\file                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src\services\login                                                                                 |          1 |          7 |          0 |          2 |          9 |
| src\services\regist                                                                                |          1 |         12 |          0 |          3 |         15 |
| src\services\search                                                                                |          1 |         26 |          0 |          5 |         31 |
| src\services\self                                                                                  |          1 |         24 |          0 |          6 |         30 |
| src\utils                                                                                          |          1 |         28 |          0 |          1 |         29 |
| src\views                                                                                          |          8 |        427 |          3 |         16 |        446 |
| src\views (Files)                                                                                  |          2 |        246 |          2 |          6 |        254 |
| src\views\add                                                                                      |          1 |          5 |          0 |          2 |          7 |
